layout,pitch_ratio,baffle_ratio,U,A_provided,dP_shell_kPa,dP_tube_kPa,Ds_mm,Nt,Nb,Re_shell,ho
triangular,1.33,0.6499999999999999,408.2812347379707,19.859741322485863,25.76677093268087,3.404353054079226,291.9892126805246,68,24.712224909852175,1947.4139325231044,669.4804008829863
triangular,1.33,0.7,393.8481279659727,20.443851361382507,20.20634936311242,3.230070804351648,295.1885512352137,70,22.616866380002524,1769.327324041322,635.0827532973485
triangular,1.33,0.7499999999999998,380.5234263916704,21.02796140027915,16.08739274237503,3.0693525513429494,298.3382782012183,72,20.809694370757743,1616.6872834508572,604.3383155054703
triangular,1.33,0.7999999999999998,364.40647029339476,22.196181478072436,12.525559144771659,2.7832088992537614,304.4972175753042,76,19.033023777931337,1454.9517779248292,570.2989174960178
triangular,1.33,0.8499999999999999,353.1015233030749,22.78029151696908,10.233096409412386,2.655497809893155,307.510241879276,78,17.669870751303748,1342.663392398167,545.6545097398629
triangular,1.33,0.8999999999999999,342.5474787436001,23.364401555865726,8.447507137297428,2.5367314777910295,310.48130365330627,80,16.46392506866325,1243.9182157377822,523.2043217392134
triangular,1.33,0.9499999999999997,332.6654488870755,23.948511594762365,7.038744434426948,2.4260801763996107,313.4120149836366,82,15.390061196381883,1156.5125637548906,502.65327067421583
triangular,1.33,0.9999999999999998,320.3809634370554,25.11673167255565,5.730090077990784,2.226265218495003,319.1583454881278,86,14.290215872426653,1059.4801723049466,479.0015027436866
triangular,1.5,0.2,522.2544644668388,15.770971050209361,308.6864044711615,5.176648780079727,267.98843540943574,54,90.04870500371185,8751.212432818731,977.7589743058965
triangular,1.5,0.25,475.99035999201,16.93919112800265,151.85288575107393,4.544963082619336,275.1620439050259,58,69.94001673696486,6640.690905252672,840.0624696256901
triangular,1.5,0.3,433.3127595848372,18.691521244692577,80.65676366011579,3.8002615670257174,285.43241928316144,64,55.989555382387806,5142.833646165688,729.8870334427743
triangular,1.5,0.35,398.10230668013804,20.443851361382507,46.80548087509477,3.230070804351648,295.1885512352137,70,46.23373276000505,4121.575548892677,646.218046366775
triangular,1.5,0.39999999999999997,372.26681678354805,21.612071439175793,30.064025579354116,2.9208045083951686,301.4405097924006,74,39.47233070433047,3458.335365463764,586.7744493155913
triangular,1.5,0.44999999999999996,349.89656627113953,22.78029151696908,20.241988857750552,2.655497809893155,307.510241879276,78,34.265311419129304,2953.919425454852,538.0387325508816
triangular,1.5,0.49999999999999994,327.1565174124584,24.53262163365901,13.699975886508511,2.3228090285459477,316.3038884522091,84,29.85640220156401,2512.7614591268875,492.2406556250125
triangular,1.5,0.5499999999999999,310.0586354299636,25.70084171145229,9.88981382468641,2.135867178209136,321.9767238412696,88,26.557045636321885,2204.5435609601554,458.0570406376693
triangular,1.5,0.5999999999999999,292.22780560396075,27.453171828142228,7.113626330475038,1.8966171742470441,330.2276453008455,94,23.629474391593316,1921.1099545652141,424.6665056576229
triangular,1.5,0.6499999999999999,278.6782121465954,28.621391905935507,5.38915383806152,1.7596453367432991,335.5691902128147,98,21.37300838891378,1717.3262643007827,399.26692303000607
triangular,1.5,0.7,264.2773552383018,30.373722022625444,4.050317665141645,1.5814763635391773,343.3625812184281,104,19.303402154918384,1523.0927755687833,373.7608280840567
triangular,1.5,0.7499999999999998,253.24715837349936,31.541942100418723,3.1793823238420447,1.4779303096230527,348.42230287480214,108,17.674656050949455,1380.5659925925827,354.0998399722406
triangular,1.5,0.7999999999999998,241.35027794697706,33.294272217108656,2.470350458263746,1.3414444787696123,355.8233563273503,114,16.143337815036865,1240.9990173631888,333.94010316764536
triangular,1.5,0.8499999999999999,232.18125657207855,34.46249229490194,1.9927895094351569,1.261138609105888,360.63962692603116,118,14.919427711047899,1137.0105972471522,318.2473295732813
triangular,1.5,0.8999999999999999,222.17447807244992,36.21482241159187,1.589380709076302,1.1541143732207153,367.6995246305347,124,13.746340038569489,1033.003236267135,301.89103161414175
triangular,1.5,0.9499999999999997,214.42331075872644,37.383042489385154,1.3101834921500237,1.090490224662639,372.30280749483205,128,12.797484203324101,954.5838898615117,289.0626911993797
triangular,1.5,0.9999999999999998,207.2166429587079,38.55126256717844,1.0897189952784787,1.0322216131293862,376.8280703440006,132,11.950202981283013,885.2049535479023,277.31182941063906
square,1.25,0.2,673.787408580302,12.266310816829504,1221.0332150986421,8.193663031659224,269.0895192904298,42,89.67614399974063,9741.745973589033,1540.1507887795212
square,1.25,0.25,628.076974000396,12.850420855726146,621.8880392026816,7.524658700757916,273.58372679478475,44,70.34927295819008,7539.452871897707,1337.6728397227942
square,1.25,0.3,581.725297483246,14.018640933519434,336.7805920830953,6.417844214960007,282.23867396238376,48,56.6344355587309,5903.4523383444875,1169.2875779830804
square,1.25,0.35,542.4208272525517,15.186861011312722,198.74979214839067,5.545394707909986,290.49601040658257,52,46.99672506118935,4776.524097955251,1040.6976825226373
square,1.25,0.39999999999999997,514.9857404252072,15.770971050209361,130.98791486957208,5.176648780079727,294.49058466620784,54,40.42747047016178,4066.844267681439,952.5870001483449
square,1.25,0.44999999999999996,484.73728546873946,16.93919112800265,86.34000181403849,4.544963082619336,302.23670868854066,58,34.8806330690287,3432.0485744678417,867.6955825536784
square,1.25,0.49999999999999994,463.4798499438502,17.52330116689929,61.788293101137484,4.273138300976255,305.996987280454,60,30.89573886573829,3013.3949525090725,807.7813710280454
square,1.25,0.5499999999999999,444.32399507787375,18.107411205795934,45.52321315212221,4.025876548860585,309.6872768946134,62,27.6506031558625,2674.5513835205525,756.4862219299857
square,1.25,0.5999999999999999,422.15172527795636,19.27563128358922,33.018853302311584,3.59380075477247,316.8716083160662,66,24.66759886300913,2341.7603875565324,703.1716497427649
square,1.25,0.6499999999999999,406.537521486978,19.859741322485863,25.464549533972047,3.404353054079226,320.37184447212337,68,22.434307468756288,2114.649150447541,664.8046974178181
square,1.25,0.7,392.1937774344869,20.443851361382507,19.984049618626244,3.230070804351648,323.8145359433094,70,20.529078523667845,1922.0719535129933,630.7921864275547
square,1.25,0.7499999999999998,378.95491404327174,21.02796140027915,15.92197291801876,3.0693525513429494,327.2022334631626,72,18.885764830511796,1756.9790364791654,600.3916188181969
square,1.25,0.7999999999999998,362.9856856810918,22.196181478072436,12.414450544900976,2.7832088992537614,333.821965401084,76,17.273213365905708,1582.4884741189342,566.8267111913257
